,moltype,stereo_type,nm_b3lyp,nm_wf,nm_wfr,nm_wf_refine
682,cyclopentenone,no_stereo,217.4,214,215,209
683,cyclopentenone,no_stereo,241.2,229,243,237
684,cyclohexenone,no_stereo,238.8,237,241,236
685,cyclohexenone,no_stereo,247.1,255,252,251
686,cyclohexenone,no_stereo,229.7,255,238,232
687,cyclohexenone,no_stereo,241.3,255,241,240
688,cyclohexenone,no_stereo,249.9,242,255,252
689,cyclohexenone,no_stereo,263.1,252,265,263
690,cyclohexenone,no_stereo,275.9,262,265,263
691,cyclohexenone,no_stereo,256.8,262,256,253
692,cyclohexenone,no_stereo,279.9,262,268,263
693,cyclohexenone,no_stereo,285.1,280,279,278
694,cyclohexenone,no_stereo,280.8,280,268,267
695,cyclohexenone,no_stereo,240.7,260,255,248
696,cyclohexenone,no_stereo,258.6,270,265,259
697,cyclohexenone,no_stereo,252.4,280,256,249
698,cyclohexenone,no_stereo,262.6,262,259,253
699,cyclohexenone,no_stereo,267.8,280,270,268
700,cyclohexenone,no_stereo,255.6,260,258,256
701,cyclohexenone,no_stereo,264.1,270,268,267
702,cyclohexenone,no_stereo,261.6,260,269,267
703,cyclohexenone,no_stereo,268.6,252,268,263
704,cyclohexenone,no_stereo,212.9,227,227,224
705,cyclohexenone,no_stereo,226.4,237,238,236
706,cyclohexenone,no_stereo,217.1,227,227,224
707,cyclohexenone,no_stereo,231.5,237,238,236
708,cyclohexenone,no_stereo,256.5,262,265,263
709,cyclohexenone,no_stereo,218.9,245,227,220
710,cyclohexenone,no_stereo,265.2,280,265,259
711,cyclohexenone,no_stereo,259.0,262,256,253
712,cyclohexenone,no_stereo,221.9,245,230,228
713,cyclohexenone,no_stereo,258.7,280,259,257
714,cyclohexenone,no_stereo,267.2,252,265,263
715,cyclohexenone,no_stereo,241.2,245,241,239
716,cyclohexenone,no_stereo,272.5,270,279,278
717,cyclohexenone,no_stereo,250.6,242,255,252
718,cyclohexenone,no_stereo,228.8,227,230,224
719,cyclohexenone,no_stereo,256.1,242,258,252
