,moltype,stereo_type,nm_b3lyp,nm_wf,nm_wfr,nm_wf_refine
148,aldehyde,cis,291.6,257,278,274
149,aldehyde,cis,297.5,275,278,278
150,aldehyde,no_stereo,277.7,257,278,278
151,aldehyde,trans,305.1,275,289,291
152,aldehyde,cis,279.9,275,278,270
153,aldehyde,cis,250.4,257,278,279
154,aldehyde,cis,297.1,275,289,289
155,aldehyde,cis,304.8,275,289,278
156,aldehyde,cis,290.7,275,289,289
157,aldehyde,no_stereo,309.2,275,289,288
158,aldehyde,cis,290.9,275,289,289
159,aldehyde,cis,274.7,275,289,289
160,aldehyde,cis,274.2,275,275,270
161,aldehyde,trans,270.2,275,278,280
162,aldehyde,trans,279.7,275,278,272
163,aldehyde,trans,281.8,275,289,291
164,aldehyde,cis,271.9,275,270,270
165,aldehyde,trans,275.3,257,275,276
166,aldehyde,trans,280.6,275,278,280
167,aldehyde,trans,283.8,257,278,281
168,aldehyde,trans,293.2,275,289,291
169,aldehyde,trans,303.2,275,270,272
170,aldehyde,no_stereo,230.4,222,237,234
171,aldehyde,cis,236.5,240,240,239
172,aldehyde,cis,236.9,222,240,235
173,aldehyde,cis,250.7,240,251,250
174,aldehyde,cis,233.9,240,237,231
175,aldehyde,trans,228.9,240,240,241
176,aldehyde,no_stereo,232.6,240,240,238
177,aldehyde,cis,228.3,240,240,239
178,aldehyde,cis,254.1,240,251,239
179,aldehyde,trans,237.3,240,240,241
180,aldehyde,trans,241.7,222,240,237
181,aldehyde,trans,238.9,240,240,241
182,aldehyde,no_stereo,238.5,222,240,239
183,aldehyde,cis,262.4,240,251,250
184,aldehyde,trans,250.0,240,240,233
185,aldehyde,trans,249.6,240,251,252
186,aldehyde,trans,254.0,240,251,241
187,aldehyde,trans,248.2,240,251,252
188,aldehyde,no_stereo,274.1,240,251,249
189,aldehyde,trans,255.1,240,251,252
190,aldehyde,trans,225.8,240,237,233
191,aldehyde,cis,232.3,240,240,239
192,aldehyde,cis,236.5,240,240,231
193,aldehyde,cis,234.9,240,251,250
194,aldehyde,no_stereo,222.0,240,232,230
195,aldehyde,no_stereo,245.5,232,248,246
196,aldehyde,no_stereo,209.4,220,229,229
197,aldehyde,no_stereo,256.2,275,269,267
198,aldehyde,no_stereo,264.2,245,247,246
199,aldehyde,no_stereo,270.4,237,268,267
200,aldehyde,no_stereo,239.7,225,246,245
201,aldehyde,no_stereo,291.5,265,289,288
202,aldehyde,no_stereo,262.2,235,256,256
203,aldehyde,no_stereo,267.8,275,270,269
204,aldehyde,no_stereo,238.9,245,256,256
205,aldehyde,trans,226.2,222,237,237
206,aldehyde,trans,232.0,240,240,241
207,aldehyde,trans,238.3,222,240,242
208,aldehyde,trans,235.7,240,251,252
209,aldehyde,trans,227.7,240,232,233
210,aldehyde,cis,218.3,222,237,235
211,aldehyde,cis,239.6,240,240,239
212,aldehyde,cis,232.2,222,240,240
213,aldehyde,cis,248.8,240,251,250
214,aldehyde,cis,242.6,240,232,231
215,aldehyde,no_stereo,196.4,210,218,217
216,acid,cis,237.7,235,229,229
217,acid,cis,232.8,217,229,225
218,acid,cis,227.9,235,240,240
219,acid,cis,233.7,235,226,221
220,acid,trans,214.0,217,226,226
221,acid,trans,235.5,235,229,230
222,acid,no_stereo,227.9,235,229,228
223,acid,cis,233.5,235,229,229
224,acid,cis,239.9,235,240,229
225,acid,trans,223.8,235,229,230
226,acid,trans,227.4,235,229,230
227,acid,trans,230.1,217,229,226
228,acid,trans,233.9,235,229,230
229,acid,no_stereo,236.7,217,229,229
230,acid,cis,243.3,235,240,240
231,acid,trans,226.6,235,229,222
232,acid,trans,228.3,217,229,231
233,acid,trans,238.6,235,240,241
234,acid,trans,237.4,235,240,230
235,acid,trans,245.2,235,240,241
236,acid,no_stereo,250.4,235,240,239
237,acid,trans,235.2,235,240,241
238,acid,trans,236.9,235,240,241
239,acid,trans,222.4,235,226,222
240,acid,cis,224.3,235,229,229
241,acid,cis,225.8,235,229,221
242,acid,cis,249.8,235,240,240
243,acid,no_stereo,219.1,235,221,220
244,acid,trans,220.7,235,221,222
245,acid,cis,218.8,217,226,225
246,acid,cis,235.4,235,229,229
247,acid,cis,232.0,217,229,230
248,acid,cis,244.6,235,240,240
249,acid,cis,235.6,235,221,221
250,acid,no_stereo,239.7,242,244,241
251,acid,trans,244.3,260,247,247
252,acid,trans,248.2,242,247,243
253,acid,trans,246.2,260,258,258
254,acid,trans,237.6,260,244,239
255,acid,cis,228.4,242,244,242
256,acid,cis,241.4,260,247,246
257,acid,trans,248.7,260,247,247
258,acid,trans,250.8,260,258,247
259,acid,cis,234.9,260,247,246
260,acid,cis,237.9,260,247,246
261,acid,cis,241.7,242,247,242
262,acid,cis,247.3,260,247,246
263,acid,no_stereo,255.3,242,247,246
264,acid,trans,254.8,260,258,258
265,acid,cis,240.6,260,247,238
266,acid,cis,250.0,242,247,247
267,acid,cis,249.7,260,258,257
268,acid,cis,247.8,260,258,246
269,acid,cis,254.5,260,258,257
270,acid,no_stereo,260.2,260,258,256
271,acid,cis,241.2,260,258,257
272,acid,cis,246.2,260,258,257
273,acid,cis,233.8,260,244,238
274,acid,trans,258.4,260,247,247
275,acid,trans,237.2,260,247,239
276,acid,trans,249.5,260,258,258
277,acid,no_stereo,229.0,260,239,237
278,acid,cis,245.5,260,239,238
279,acid,trans,240.8,242,244,243
280,acid,trans,244.8,260,247,247
281,acid,trans,255.0,242,247,248
282,acid,trans,254.9,260,258,258
283,acid,trans,234.1,260,239,239
284,acid,no_stereo,240.6,222,243,240
285,acid,trans,249.9,240,246,246
286,acid,trans,228.2,222,246,242
287,acid,trans,256.8,240,257,257
288,acid,trans,236.4,240,243,238
289,acid,cis,233.2,222,243,241
290,acid,cis,245.8,240,246,245
291,acid,no_stereo,251.9,240,246,244
292,acid,trans,250.2,240,246,246
293,acid,trans,254.2,240,257,246
294,acid,cis,225.1,240,246,245
295,acid,cis,244.8,240,246,245
296,acid,cis,247.9,222,246,241
297,acid,cis,251.5,240,246,245
298,acid,trans,261.6,240,257,257
299,acid,cis,241.0,240,246,237
300,acid,cis,240.6,222,246,246
301,acid,cis,253.0,240,257,256
302,acid,cis,254.9,240,257,245
303,acid,cis,240.8,240,257,256
304,acid,no_stereo,270.1,240,257,255
305,acid,cis,249.7,240,257,256
306,acid,cis,247.8,240,257,256
307,acid,cis,233.2,240,243,237
308,acid,trans,241.7,240,246,246
309,acid,trans,242.1,240,246,238
310,acid,trans,265.3,240,257,257
311,acid,no_stereo,229.4,240,238,236
312,acid,cis,233.1,240,238,237
313,acid,trans,242.1,222,243,242
314,acid,trans,251.6,240,246,246
315,acid,trans,251.7,222,246,247
316,acid,trans,260.6,240,257,257
317,acid,trans,242.5,240,238,238
318,acid,no_stereo,252.7,232,253,251
319,acid,trans,254.6,250,256,257
320,acid,trans,264.4,232,256,253
321,acid,trans,274.0,250,267,268
322,acid,trans,248.7,250,253,249
323,acid,cis,244.2,232,253,252
324,acid,cis,256.0,250,256,256
325,acid,no_stereo,250.3,250,256,255
326,acid,trans,260.2,250,256,257
327,acid,trans,253.4,250,267,257
328,acid,cis,249.1,250,256,256
329,acid,cis,246.7,250,256,256
330,acid,cis,259.7,232,256,252
331,acid,cis,267.8,250,256,256
332,acid,no_stereo,237.0,232,256,256
333,acid,trans,254.3,250,267,268
334,acid,cis,258.0,250,256,248
335,acid,cis,253.1,232,256,257
336,acid,cis,261.2,250,267,267
337,acid,cis,264.3,250,267,256
338,acid,cis,267.0,250,267,267
339,acid,cis,260.6,250,267,267
340,acid,cis,257.6,250,267,267
341,acid,cis,252.3,250,253,248
342,acid,trans,240.3,250,256,257
343,acid,trans,260.8,250,256,249
344,acid,trans,260.1,250,267,268
345,acid,no_stereo,233.9,250,248,247
346,acid,cis,239.0,250,248,248
347,acid,trans,256.7,232,253,253
348,acid,trans,260.8,250,256,257
349,acid,trans,265.3,232,256,258
350,acid,trans,271.0,250,267,268
351,acid,trans,245.3,250,248,249
352,acid,no_stereo,229.2,242,253,251
353,acid,trans,253.0,260,256,257
354,acid,trans,255.1,242,256,253
355,acid,trans,247.7,260,267,268
356,acid,trans,222.6,260,253,249
357,acid,cis,237.6,242,253,252
358,acid,cis,239.8,260,256,256
359,acid,no_stereo,241.3,260,256,255
360,acid,trans,251.4,260,256,257
361,acid,trans,255.8,260,267,257
362,acid,cis,260.8,260,256,256
363,acid,cis,239.4,260,256,256
364,acid,cis,247.4,242,256,252
365,acid,cis,248.2,260,256,256
366,acid,no_stereo,254.6,242,256,256
367,acid,trans,257.6,260,267,268
368,acid,cis,236.7,260,256,248
369,acid,cis,242.4,242,256,257
370,acid,cis,249.4,260,267,267
371,acid,cis,263.1,260,267,256
372,acid,cis,267.0,260,267,267
373,acid,no_stereo,276.5,260,267,266
374,acid,cis,266.4,260,267,267
375,acid,cis,247.8,260,267,267
376,acid,cis,243.0,260,253,248
377,acid,trans,230.8,260,256,257
378,acid,trans,246.4,260,256,249
379,acid,trans,254.9,260,267,268
380,acid,cis,236.5,260,248,248
381,acid,trans,245.8,242,253,253
382,acid,trans,252.5,260,256,257
383,acid,trans,252.6,242,256,258
384,acid,trans,273.6,260,267,268
385,acid,trans,232.9,260,248,249
386,acid,no_stereo,216.5,207,215,212
387,acid,cis,223.3,225,218,217
388,acid,cis,226.6,207,218,213
389,acid,cis,243.1,225,229,228
390,acid,cis,215.3,225,215,209
391,acid,trans,227.2,225,218,218
392,acid,no_stereo,214.5,225,218,216
393,acid,cis,218.8,225,218,217
394,acid,cis,245.5,225,229,217
395,acid,trans,225.5,225,218,218
396,acid,trans,223.8,207,218,214
397,acid,trans,224.3,225,218,218
398,acid,no_stereo,228.4,207,218,217
399,acid,cis,242.2,225,229,228
400,acid,trans,219.7,225,218,210
401,acid,trans,235.0,225,229,229
402,acid,trans,254.1,225,229,218
403,acid,trans,236.1,225,229,229
404,acid,no_stereo,251.5,225,229,227
405,acid,trans,230.5,225,229,229
406,acid,trans,213.0,225,215,210
407,acid,cis,220.9,225,218,217
408,acid,cis,217.7,225,218,209
409,acid,cis,227.6,225,229,228
410,acid,no_stereo,210.9,225,210,208
411,acid,no_stereo,221.9,217,226,224
412,acid,no_stereo,204.3,205,207,207
413,acid,no_stereo,241.6,260,247,245
414,acid,no_stereo,253.0,230,225,224
415,acid,no_stereo,254.2,222,246,245
416,acid,no_stereo,231.0,210,224,223
417,acid,no_stereo,266.3,250,267,266
418,acid,no_stereo,248.8,220,234,234
419,acid,no_stereo,227.8,260,248,247
420,acid,no_stereo,229.8,230,234,234
421,acid,trans,208.2,207,215,214
422,acid,trans,218.5,225,218,218
423,acid,trans,219.5,207,218,219
424,acid,trans,231.3,225,229,229
425,acid,trans,209.1,225,210,210
426,acid,cis,206.2,207,215,213
427,acid,cis,220.1,225,218,217
428,acid,cis,218.9,207,218,218
429,acid,cis,237.2,225,229,228
430,acid,cis,214.8,225,210,209
431,acid,no_stereo,197.1,195,196,195
432,ketone,cis,246.3,255,245,243
433,ketone,cis,248.7,237,245,239
434,ketone,cis,251.0,255,256,254
435,ketone,cis,236.5,255,242,235
436,ketone,trans,221.2,237,242,242
437,ketone,trans,251.8,255,245,246
438,ketone,no_stereo,235.7,255,245,247
439,ketone,cis,242.5,255,245,243
440,ketone,cis,249.0,255,256,243
441,ketone,trans,234.0,255,245,246
442,ketone,trans,239.7,255,245,246
443,ketone,trans,251.3,237,245,242
444,ketone,trans,242.4,255,245,246
445,ketone,no_stereo,250.8,237,245,248
446,ketone,cis,262.2,255,256,254
447,ketone,trans,236.7,255,245,238
448,ketone,trans,241.9,237,245,247
449,ketone,trans,261.2,255,256,257
450,ketone,trans,257.6,255,256,246
451,ketone,trans,260.9,255,256,257
